"subNum","objNum","kitchen","expectancy","recollection","familiar","guess","noMemory"
32,"mug","kitchen",86.482085,"not recollected","familiar","not guessed",0
32,"dishes","kitchen",-100,"not recollected","familiar","not guessed",0
32,"towels","non-kitchen",69.543974,"recollected","not familiar","not guessed",0
32,"toy","non-kitchen",47.71987,"recollected","not familiar","not guessed",0
32,"pile of books","non-kitchen",-60.09772,"not recollected","familiar","not guessed",0
32,"umbrella","non-kitchen",-68.078176,"recollected","not familiar","not guessed",0
32,"hat","non-kitchen",-70.032573,"not recollected","not familiar","guessed",0
32,"helmet","non-kitchen",8.143322,"not recollected","familiar","not guessed",0
32,"calendar","non-kitchen",-50.325733,"recollected","not familiar","not guessed",0
32,"fan","non-kitchen",79.967427,"not recollected","not familiar","guessed",0
33,"microwave","kitchen",47.23127,"not recollected","not familiar","not guessed",1
33,"kitchen roll","kitchen",100,"recollected","not familiar","not guessed",0
33,"saucepan","kitchen",38.925081,"not recollected","not familiar","guessed",0
33,"toaster","kitchen",100,"recollected","not familiar","not guessed",0
33,"bowl of fruits","kitchen",-55.537459,"not recollected","familiar","not guessed",0
33,"tea pot","kitchen",-100,"not recollected","not familiar","guessed",0
33,"knife","kitchen",100,"recollected","not familiar","not guessed",0
33,"mixer","kitchen",-54.234528,"not recollected","not familiar","guessed",0
33,"bread","kitchen",65.635179,"recollected","not familiar","not guessed",0
33,"glass jug","kitchen",-24.429967,"not recollected","not familiar","not guessed",1
33,"mug","kitchen",-18.403909,"not recollected","not familiar","not guessed",1
33,"dishes","kitchen",100,"recollected","not familiar","not guessed",0
33,"towels","non-kitchen",-77.687296,"not recollected","not familiar","guessed",0
33,"toy","non-kitchen",100,"recollected","not familiar","not guessed",0
33,"pile of books","non-kitchen",39.576547,"not recollected","familiar","not guessed",0
33,"umbrella","non-kitchen",69.055375,"not recollected","familiar","not guessed",0
33,"hat","non-kitchen",100,"recollected","not familiar","not guessed",0
33,"helmet","non-kitchen",19.218241,"not recollected","familiar","not guessed",0
33,"calendar","non-kitchen",100,"recollected","not familiar","not guessed",0
33,"fan","non-kitchen",100,"recollected","not familiar","not guessed",0
34,"microwave","kitchen",70.521173,"not recollected","familiar","not guessed",0
34,"kitchen roll","kitchen",19.381107,"recollected","not familiar","not guessed",0
34,"saucepan","kitchen",80.618893,"recollected","not familiar","not guessed",0
34,"toaster","kitchen",-83.550489,"recollected","not familiar","not guessed",0
34,"bowl of fruits","kitchen",31.107492,"recollected","not familiar","not guessed",0
34,"tea pot","kitchen",51.791531,"not recollected","familiar","not guessed",0
34,"knife","kitchen",-50.162866,"recollected","not familiar","not guessed",0
34,"mixer","kitchen",19.869707,"recollected","not familiar","not guessed",0
34,"bread","kitchen",-17.100977,"not recollected","familiar","not guessed",0
34,"glass jug","kitchen",88.925081,"not recollected","familiar","not guessed",0
34,"mug","kitchen",92.18241,"not recollected","not familiar","guessed",0
34,"dishes","kitchen",-84.364821,"not recollected","not familiar","guessed",0
34,"towels","non-kitchen",-55.700326,"not recollected","not familiar","guessed",0
34,"toy","non-kitchen",-30.130293,"not recollected","not familiar","guessed",0
34,"pile of books","non-kitchen",0.162866,"recollected","not familiar","not guessed",0
34,"umbrella","non-kitchen",-45.439739,"not recollected","familiar","not guessed",0
34,"hat","non-kitchen",-28.827362,"not recollected","familiar","not guessed",0
34,"helmet","non-kitchen",26.221498,"recollected","not familiar","not guessed",0
34,"calendar","non-kitchen",48.534202,"recollected","not familiar","not guessed",0
34,"fan","non-kitchen",-34.85342,"recollected","not familiar","not guessed",0
35,"microwave","kitchen",99.674267,"recollected","not familiar","not guessed",0
35,"kitchen roll","kitchen",0.325733,"not recollected","familiar","not guessed",0
