"subNum","objNum","kitchen","expectancy","recollection"
27,"mixer","kitchen",100,"not recollected"
27,"bread","kitchen",-100,"recollected"
27,"glass jug","kitchen",32.247557,"not recollected"
27,"mug","kitchen",-27.035831,"not recollected"
27,"dishes","kitchen",34.85342,"not recollected"
27,"towels","non-kitchen",10.09772,"not recollected"
27,"toy","non-kitchen",100,"recollected"
27,"pile of books","non-kitchen",13.355049,"not recollected"
27,"umbrella","non-kitchen",41.042345,"not recollected"
27,"hat","non-kitchen",100,"recollected"
27,"helmet","non-kitchen",37.13355,"not recollected"
27,"calendar","non-kitchen",-100,"not recollected"
27,"fan","non-kitchen",34.690554,"recollected"
39,"microwave","kitchen",96.416938,"not recollected"
39,"kitchen roll","kitchen",63.355049,"recollected"
39,"saucepan","kitchen",95.276873,"not recollected"
39,"toaster","kitchen",-95.602606,"not recollected"
39,"bowl of fruits","kitchen",-72.312704,"not recollected"
39,"tea pot","kitchen",82.410423,"not recollected"
39,"knife","kitchen",-90.553746,"not recollected"
39,"mixer","kitchen",79.641694,"not recollected"
39,"bread","kitchen",-9.283388,"not recollected"
39,"glass jug","kitchen",94.462541,"not recollected"
39,"mug","kitchen",90.879479,"not recollected"
39,"dishes","kitchen",-98.859935,"recollected"
39,"towels","non-kitchen",-8.143322,"not recollected"
39,"toy","non-kitchen",-79.967427,"not recollected"
39,"pile of books","non-kitchen",-4.560261,"recollected"
39,"umbrella","non-kitchen",4.723127,"not recollected"
39,"hat","non-kitchen",-93.485342,"recollected"
39,"helmet","non-kitchen",-64.495114,"not recollected"
39,"calendar","non-kitchen",-13.355049,"not recollected"
39,"fan","non-kitchen",-53.094463,"not recollected"
40,"microwave","kitchen",100,"recollected"
40,"kitchen roll","kitchen",100,"recollected"
40,"saucepan","kitchen",47.23127,"not recollected"
40,"toaster","kitchen",100,"recollected"
40,"bowl of fruits","kitchen",79.641694,"recollected"
40,"tea pot","kitchen",44.136808,"not recollected"
40,"knife","kitchen",-22.149837,"not recollected"
40,"mixer","kitchen",65.14658,"not recollected"
40,"bread","kitchen",100,"recollected"
40,"glass jug","kitchen",100,"recollected"
40,"mug","kitchen",32.247557,"not recollected"
40,"dishes","kitchen",35.016287,"not recollected"
40,"towels","non-kitchen",100,"recollected"
40,"toy","non-kitchen",100,"recollected"
40,"pile of books","non-kitchen",14.495114,"not recollected"
40,"umbrella","non-kitchen",100,"recollected"
40,"hat","non-kitchen",100,"recollected"
40,"helmet","non-kitchen",-11.400651,"not recollected"
40,"calendar","non-kitchen",100,"recollected"
40,"fan","non-kitchen",100,"recollected"
41,"microwave","kitchen",90.228013,"not recollected"
41,"kitchen roll","kitchen",84.364821,"recollected"
41,"saucepan","kitchen",69.70684,"not recollected"
41,"toaster","kitchen",-100,"recollected"
41,"bowl of fruits","kitchen",-19.381107,"recollected"
41,"tea pot","kitchen",-69.70684,"recollected"
41,"knife","kitchen",-19.869707,"recollected"
41,"mixer","kitchen",45.114007,"recollected"
41,"bread","kitchen",-29.967427,"recollected"
41,"glass jug","kitchen",90.228013,"recollected"
41,"mug","kitchen",100,"not recollected"
41,"dishes","kitchen",-100,"recollected"
41,"towels","non-kitchen",60.586319,"recollected"
41,"toy","non-kitchen",100,"recollected"
41,"pile of books","non-kitchen",74.592834,"recollected"
41,"umbrella","non-kitchen",-70.358306,"recollected"
41,"hat","non-kitchen",28.990228,"recollected"
41,"helmet","non-kitchen",30.130293,"not recollected"
41,"calendar","non-kitchen",50,"recollected"
41,"fan","non-kitchen",-90.390879,"recollected"
42,"microwave","kitchen",98.534202,"recollected"
42,"kitchen roll","kitchen",-7.81759,"not recollected"
42,"saucepan","kitchen",83.061889,"not recollected"
42,"toaster","kitchen",-92.833876,"not recollected"
42,"bowl of fruits","kitchen",-16.449511,"recollected"
42,"tea pot","kitchen",-25.895765,"not recollected"
42,"knife","kitchen",-98.859935,"not recollected"
42,"mixer","kitchen",12.214984,"recollected"
42,"bread","kitchen",-49.022801,"recollected"
42,"glass jug","kitchen",83.713355,"not recollected"
42,"mug","kitchen",0,"not recollected"
42,"dishes","kitchen",-71.986971,"not recollected"
42,"towels","non-kitchen",95.765472,"recollected"
42,"toy","non-kitchen",21.335505,"recollected"
42,"pile of books","non-kitchen",75.2443,"recollected"
42,"umbrella","non-kitchen",3.908795,"not recollected"
42,"hat","non-kitchen",-32.247557,"not recollected"
42,"helmet","non-kitchen",7.32899,"not recollected"
42,"calendar","non-kitchen",52.442997,"not recollected"
42,"fan","non-kitchen",-5.700326,"recollected"
43,"microwave","kitchen",55.374593,"not recollected"
43,"kitchen roll","kitchen",30.618893,"not recollected"
43,"saucepan","kitchen",77.198697,"not recollected"
43,"toaster","kitchen",-98.045603,"not recollected"
43,"bowl of fruits","kitchen",-83.061889,"recollected"
43,"tea pot","kitchen",-88.273616,"not recollected"
43,"knife","kitchen",-91.205212,"recollected"
43,"mixer","kitchen",-56.026059,"not recollected"
43,"bread","kitchen",-76.547231,"recollected"
43,"glass jug","kitchen",59.771987,"recollected"
43,"mug","kitchen",48.534202,"recollected"
43,"dishes","kitchen",-81.270358,"recollected"
43,"towels","non-kitchen",36.970684,"recollected"
43,"toy","non-kitchen",-36.807818,"not recollected"
43,"pile of books","non-kitchen",-11.400651,"recollected"
43,"umbrella","non-kitchen",-60.912052,"not recollected"
43,"hat","non-kitchen",0.325733,"not recollected"
43,"helmet","non-kitchen",-13.843648,"not recollected"
43,"calendar","non-kitchen",-71.335505,"recollected"
43,"fan","non-kitchen",-96.091205,"not recollected"
44,"microwave","kitchen",96.905537,"not recollected"
44,"kitchen roll","kitchen",88.273616,"not recollected"
44,"saucepan","kitchen",71.498371,"not recollected"
44,"toaster","kitchen",-100,"not recollected"
44,"bowl of fruits","kitchen",-18.566775,"not recollected"
44,"tea pot","kitchen",-40.716612,"not recollected"
44,"knife","kitchen",-22.801303,"not recollected"
44,"mixer","kitchen",-7.32899,"not recollected"
44,"bread","kitchen",-17.263844,"not recollected"
44,"glass jug","kitchen",82.247557,"not recollected"
44,"mug","kitchen",46.416938,"not recollected"
44,"dishes","kitchen",-82.899023,"not recollected"
44,"towels","non-kitchen",8.143322,"not recollected"
44,"toy","non-kitchen",-7.980456,"not recollected"
44,"pile of books","non-kitchen",5.863192,"not recollected"
44,"umbrella","non-kitchen",-41.368078,"not recollected"
44,"hat","non-kitchen",-57.166124,"not recollected"
44,"helmet","non-kitchen",-28.990228,"not recollected"
44,"calendar","non-kitchen",29.641694,"not recollected"
44,"fan","non-kitchen",-14.006515,"not recollected"
45,"microwave","kitchen",81.107492,"recollected"
45,"kitchen roll","kitchen",72.312704,"not recollected"
45,"saucepan","kitchen",38.762215,"not recollected"
45,"toaster","kitchen",-100,"recollected"
45,"bowl of fruits","kitchen",-50.651466,"recollected"
45,"tea pot","kitchen",-77.361564,"not recollected"
45,"knife","kitchen",-100,"recollected"
45,"mixer","kitchen",78.013029,"not recollected"
45,"bread","kitchen",15.635179,"not recollected"
45,"glass jug","kitchen",-18.241042,"not recollected"
45,"mug","kitchen",90.716612,"not recollected"
45,"dishes","kitchen",-100,"recollected"
45,"towels","non-kitchen",37.459283,"not recollected"
45,"toy","non-kitchen",44.95114,"not recollected"
45,"pile of books","non-kitchen",70.358306,"recollected"
45,"umbrella","non-kitchen",-94.299674,"recollected"
45,"hat","non-kitchen",-85.667752,"not recollected"
45,"helmet","non-kitchen",15.472313,"not recollected"
45,"calendar","non-kitchen",-35.667752,"recollected"
45,"fan","non-kitchen",-65.960912,"not recollected"
46,"microwave","kitchen",100,"recollected"
46,"kitchen roll","kitchen",83.550489,"recollected"
46,"saucepan","kitchen",90.228013,"not recollected"
46,"toaster","kitchen",-100,"not recollected"
46,"bowl of fruits","kitchen",-100,"recollected"
46,"tea pot","kitchen",-21.009772,"not recollected"
46,"knife","kitchen",-100,"recollected"
46,"mixer","kitchen",-66.938111,"recollected"
46,"bread","kitchen",-100,"not recollected"
46,"glass jug","kitchen",-62.37785,"recollected"
46,"mug","kitchen",100,"not recollected"
46,"dishes","kitchen",-100,"recollected"
46,"towels","non-kitchen",18.566775,"not recollected"
46,"toy","non-kitchen",58.631922,"recollected"
46,"pile of books","non-kitchen",88.273616,"recollected"
46,"umbrella","non-kitchen",34.690554,"recollected"
46,"hat","non-kitchen",-100,"not recollected"
46,"helmet","non-kitchen",-100,"recollected"
46,"calendar","non-kitchen",75.2443,"recollected"
46,"fan","non-kitchen",-100,"not recollected"
47,"microwave","kitchen",97.394137,"not recollected"
47,"kitchen roll","kitchen",47.882736,"recollected"
47,"saucepan","kitchen",100,"not recollected"
47,"toaster","kitchen",100,"recollected"
47,"bowl of fruits","kitchen",-100,"not recollected"
47,"tea pot","kitchen",68.078176,"not recollected"
47,"knife","kitchen",-37.785016,"not recollected"
47,"mixer","kitchen",-68.729642,"not recollected"
47,"bread","kitchen",64.65798,"recollected"
47,"glass jug","kitchen",61.563518,"not recollected"
47,"mug","kitchen",51.140065,"not recollected"
47,"dishes","kitchen",100,"recollected"
47,"towels","non-kitchen",-82.57329,"recollected"
47,"toy","non-kitchen",100,"recollected"
47,"pile of books","non-kitchen",48.208469,"not recollected"
47,"umbrella","non-kitchen",34.690554,"not recollected"
47,"hat","non-kitchen",100,"recollected"
47,"helmet","non-kitchen",18.892508,"not recollected"
47,"calendar","non-kitchen",-100,"not recollected"
47,"fan","non-kitchen",87.62215,"recollected"
48,"microwave","kitchen",100,"recollected"
48,"kitchen roll","kitchen",50.162866,"recollected"
48,"saucepan","kitchen",69.869707,"not recollected"
48,"toaster","kitchen",-89.576547,"recollected"
48,"bowl of fruits","kitchen",-14.820847,"not recollected"
48,"tea pot","kitchen",69.869707,"recollected"
48,"knife","kitchen",-40.390879,"not recollected"
48,"mixer","kitchen",49.348534,"recollected"
48,"bread","kitchen",-39.576547,"recollected"
48,"glass jug","kitchen",79.80456,"not recollected"
48,"mug","kitchen",80.456026,"not recollected"
48,"dishes","kitchen",-79.80456,"recollected"
48,"towels","non-kitchen",80.456026,"not recollected"
48,"toy","non-kitchen",29.967427,"recollected"
48,"pile of books","non-kitchen",20.032573,"not recollected"
48,"umbrella","non-kitchen",-15.309446,"recollected"
48,"hat","non-kitchen",-20.521173,"not recollected"
48,"helmet","non-kitchen",-19.869707,"not recollected"
48,"calendar","non-kitchen",24.592834,"not recollected"
48,"fan","non-kitchen",-29.641694,"not recollected"
