Camera (head) (UnityEngine.GameObject)	0	34201.71	-1.71638	2.972888	-2.754956	0.004157515	-0.1883675	-0.01434239
ControllerRight (UnityEngine.GameObject)	1	34201.71	2.477667	0.9490083	-6.102768	-0.1146582	-0.8009509	-0.06996807
Camera (head) (UnityEngine.GameObject)	0	34213.08	-1.704067	2.999136	-2.749207	0.004869562	-0.1972188	-0.012964
ControllerRight (UnityEngine.GameObject)	1	34213.08	2.47762	0.9490514	-6.102789	-0.1145998	-0.800948	-0.07001486
Camera (head) (UnityEngine.GameObject)	0	34225.64	-1.681851	3.012986	-2.72534	0.005621967	-0.2088688	-0.01219222
ControllerRight (UnityEngine.GameObject)	1	34225.64	2.47752	0.9488938	-6.102526	-0.1144629	-0.8009394	-0.07005475
Camera (head) (UnityEngine.GameObject)	0	34234.88	-1.656325	3.018369	-2.693675	0.006236389	-0.2202536	-0.01198951
ControllerRight (UnityEngine.GameObject)	1	34234.88	2.477437	0.9489086	-6.10251	-0.1144516	-0.8009357	-0.07007128
Camera (head) (UnityEngine.GameObject)	0	34247.79	-1.629411	3.021553	-2.659445	0.006561898	-0.2303634	-0.01227978
ControllerRight (UnityEngine.GameObject)	1	34247.79	2.477556	0.948866	-6.1025	-0.114647	-0.800929	-0.06998952
Camera (head) (UnityEngine.GameObject)	0	34259.49	-1.597197	3.024924	-2.618777	0.006116449	-0.2386185	-0.01362777
ControllerRight (UnityEngine.GameObject)	1	34259.49	2.47739	0.9488412	-6.102573	-0.1146761	-0.8009462	-0.06991663
Camera (head) (UnityEngine.GameObject)	0	34268.17	-1.566681	3.024971	-2.579688	0.005272044	-0.2445462	-0.01555053
ControllerRight (UnityEngine.GameObject)	1	34268.17	2.477689	0.9487328	-6.102516	-0.1147158	-0.800957	-0.06997094
Camera (head) (UnityEngine.GameObject)	0	34278.66	-1.533709	3.02093	-2.536276	0.00428571	-0.2505811	-0.01792692
ControllerRight (UnityEngine.GameObject)	1	34278.66	2.477776	0.9488214	-6.102748	-0.1149197	-0.800947	-0.06989663
Camera (head) (UnityEngine.GameObject)	0	34290.16	-1.508442	3.01092	-2.49982	0.003673059	-0.2557654	-0.0199608
ControllerRight (UnityEngine.GameObject)	1	34290.16	2.47767	0.9489127	-6.102777	-0.114826	-0.8009538	-0.06989211
